대피소명,주소,위도,경도,유형
장훈고등학교 운동장,서울특별시 영등포구 영등포로64길 26(신길동),37.513615,126.915551,지진대피소
영남중학교 운동장,서울특별시 영등포구 대림로31나길 17(대림동),37.497418,126.896038,지진대피소
여의도여자고등학교 운동장,서울특별시 영등포구 국제금융로7가길 13(여의도동),37.522576,126.934909,지진대피소
신대림초등학교 운동장,서울특별시 영등포구 대림로8길 25(대림동),37.491853,126.90589,지진대피소
윤중초등학교 운동장,서울특별시 영등포구 여의나루로2길 14(여의도동),37.519549,126.923107,지진대피소
우신초등학교 운동장,서울특별시 영등포구 신길로 190(신길동),37.509336,126.912131,지진대피소
대동초등학교 운동장,서울특별시 영등포구 대림로21길 6(대림동),37.493281,126.900072,지진대피소
고은초등학교 운동장,서울특별시 서대문구 모래내로 441(홍제동),37.584714,126.943621,지진대피소
양화중학교 운동장,서울특별시 영등포구 당산로 56(문래동3가),37.519291,126.89636,지진대피소
명지전문대 운동장,서울특별시 서대문구 가좌로 134(홍은동),37.583792,126.925305,지진대피소
명지중학교 운동장,서울특별시 서대문구 명지2길 56(홍은동),37.58402,126.927102,지진대피소
도림초등학교 운동장,서울특별시 영등포구 가마산로65길 22(신길동),37.508296,126.90748,지진대피소
신남성초등학교 운동장,서울특별시 동작구 사당로 146(사당동),37.488503,126.965277,지진대피소
문창초등학교 운동장,서울특별시 동작구 신대방2길 14(신대방동),37.489171,126.914363,지진대피소
신도봉중학교 운동장,서울특별시 도봉구 도봉로115길 16(쌍문동),37.649281,127.033395,지진대피소
창원초등학교 운동장,서울특별시 도봉구 해등로 103(창동),37.652104,127.040713,지진대피소
창림초등학교운동장,서울특별시 도봉구 덕릉로63길 46(창동),37.643152,127.041796,지진대피소
흑석초등학교 운동장,서울특별시 동작구 현충로 87(흑석동),37.508658,126.965093,지진대피소
연희중학교 운동장,서울특별시 서대문구 증가로 170(남가좌동),37.579123,126.918913,지진대피소
대신초등학교 운동장,서울특별시 서대문구 이화여대2길 27(대현동),37.55768,126.947459,지진대피소
길음초등학교 운동장,서울특별시 성북구 길음로 142(길음동),37.6132,127.017084,지진대피소
선유고등학교 운동장,서울특별시 영등포구 선유로 227(양평동4가),37.53339,126.89507,지진대피소
국사봉중학교운동장,서울특별시 동작구 양녕로20길 20(상도동),37.493777,126.945071,지진대피소
삼릉초등학교 운동장,서울특별시 강남구 봉은사로63길 22(삼성동),37.512774,127.047155,지진대피소
도성초등학교 운동장,서울특별시 강남구 역삼로 313(역삼동),37.500667,127.049165,지진대피소
대모초등학교 운동장,서울특별시 강남구 일원동 736,37.481077,127.086048,지진대피소
유한공업고등학교 운동장,서울특별시 구로구 경인로 8(항동),37.488029,126.823629,지진대피소
중앙여자고등학교 운동장,서울특별시 서대문구 북아현로11가길 7(북아현동),37.562144,126.95248,지진대피소
방학중학교 운동장,서울특별시 도봉구 시루봉로 188(방학동),37.665443,127.031764,지진대피소
