대피소명,주소,위도,경도,유형
KT (주)지오컴퍼니 수유시장점,서울 강북구 도봉로 251,37.63091,127.024,기후동행쉼터
KT (주)피앤월드 수유역점,서울 강북구 도봉로 334 1층,37.63755,127.02554,기후동행쉼터
KT (주)세븐업_경기북부_수유역점,서울 강북구 도봉로 339 1층,37.6382,127.02543,기후동행쉼터
KT M&S수유직영점,서울 강북구 도봉로 342 1층 KT,37.63803,127.02612,기후동행쉼터
KT (주)일등통신_수유점,"서울 강북구 도봉로 363, kt매장",37.63994,127.02726,기후동행쉼터
KT (주)지오컴퍼니 미아사거리역점,서울 강북구 도봉로 53 1층 KT,37.61382,127.02961,기후동행쉼터
KT (주)영진랜드 수유역점,서울 강북구 도봉로89길 1 1층,37.63891,127.0261,기후동행쉼터
신한은행 강북구청,서울 강북구 도봉로89길 13,37.63969,127.0257,기후동행쉼터
KT olleh plaza 강북점,서울 강북구 솔매로50길 43 kt 강북지점 1층 kt 플라자 강북점,37.62456,127.02808,기후동행쉼터
KT M&S삼양로직영점,"서울 강북구 솔샘로 260 상가, kt매장",37.6192,127.02143,기후동행쉼터
KT (주)피앤월드 미아사거리점,서울 강북구 숭인로 75 1층 KT,37.61242,127.02989,기후동행쉼터
KT 솔트네트워크_화곡중앙점,서울 강서구 가로공원로76길 56 1층 KT,37.53454,126.83782,기후동행쉼터
KT M&S우장산역직영점,서울 강서구 강서로 251 1층,37.54812,126.83602,기후동행쉼터
KT M&S까치산역직영점,서울 강서구 강서로 47,37.53191,126.84627,기후동행쉼터
KT 영웅앤제이_까치산역점,서울 강서구 강서로16길 1,37.5327,126.8465,기후동행쉼터
KT 연세컴퍼니_우장산역점,서울 강서구 강서로45길 9 1층 우장산역,37.54774,126.83563,기후동행쉼터
KT olleh plaza 강서점,서울 강서구 강서로5길 64 kt 강서지점 1층 kt 플라자 강서점,37.52942,126.84848,기후동행쉼터
KT 한백이동통신 마곡점,서울 강서구 공항대로 168 747 110,37.55925,126.82614,기후동행쉼터
신한은행 마곡역금융센터,서울 강서구 공항대로 195,37.55992,126.82914,기후동행쉼터
KT 한백이동통신_송정역점,서울 강서구 공항대로 24 1층 송정역 4번출구 50 M,37.56117,126.80996,기후동행쉼터
신한은행 이대서울병원,서울 강서구 공항대로 260,37.55724,126.83627,기후동행쉼터
KT 한백이동통신 발산파크점,서울 강서구 공항대로 261,37.55914,126.8365,기후동행쉼터
KT 씨엔에프텔레콤 등촌점,서울 강서구 공항대로41길 65 그랜드종합 상가 1층,37.56073,126.84607,기후동행쉼터
KT 연세컴퍼니_방화역점,서울 강서구 금낭화로 135 1층 107호 108호,37.57752,126.81247,기후동행쉼터
KT 연세컴퍼니_목동사거리점,서울 강서구 등촌로 25,37.53219,126.86354,기후동행쉼터
KT M&S마곡나루역직영점,"서울 강서구 마곡중앙5로1길 20 107호 108호, kt매장",37.56873,126.82672,기후동행쉼터
KT 한백이동통신 공항시장역점,서울 강서구 방화동로 35,37.56404,126.81067,기후동행쉼터
신한은행 양천향교역,서울 강서구 양천로 344,37.56832,126.84027,기후동행쉼터
KT M&S가양역직영점,서울 강서구 양천로 460 1층 KT매장,37.56255,126.85173,기후동행쉼터
KT 일등텔레콤 화곡역점,서울 강서구 화곡로 157 103호 일부,37.54158,126.83911,기후동행쉼터
KT M&S화곡역직영점,서울 강서구 화곡로 164 1층 KT매장,37.54125,126.83989,기후동행쉼터
KT 한백이동통신 본동시장점,서울 강서구 화곡로 206 김대근한의원 1층 3호,37.54376,126.84365,기후동행쉼터
KT 영웅앤제이 가양역점,서울 강서구 화곡로 402 1층 가양역 홈플러스옆,37.55913,126.85436,기후동행쉼터
KT M&S서울대직영점,서울 관악구 관악로 198 1층 KT매장,37.48255,126.95398,기후동행쉼터
KT 인성피플스_신림역점,서울 관악구 남부순환로 1604 1층,37.48393,126.92893,기후동행쉼터
KT 와이씨 녹두미림점,서울 관악구 대학길 16 1층 KT매장,37.47004,126.9379,기후동행쉼터
KT M&S당곡역직영점,"서울 관악구 봉천로 212, kt매장",37.48963,126.92508,기후동행쉼터
KT M&S신림직영점,서울 관악구 신림로 360-1 1층 KT매장,37.48649,126.92946,기후동행쉼터
KT M&S관악구청직영점,서울 관악구 쑥고개로 139,37.47888,126.95202,기후동행쉼터
KT olleh plaza 구로점,서울 관악구 조원중앙로1길 26 kt 구로지점 1층 kt 플라자 구로점,37.48106,126.90356,기후동행쉼터
KT olleh plaza 관악점,서울 관악구 청룡1길 34 kt 관악지점 1층 kt 플라자 관악점,37.48096,126.94843,기후동행쉼터
KT (주)거성크루_세종대점,서울 광진구 광나루로 366-1,37.54783,127.07051,기후동행쉼터
GS25 GS25건국점,서울 광진구 광나루로24길 14,37.54565,127.07625,기후동행쉼터
KT 모바일라운지_화양점,"서울 광진구 군자로 76 , kt매장",37.54996,127.07109,기후동행쉼터
KT 모바일라운지_건대점,서울 광진구 능동로 123 1층 일부,37.54204,127.07134,기후동행쉼터
KT (주)거성크루_건대랜드마크점,서울 광진구 능동로 91 1층,37.53926,127.07004,기후동행쉼터
KT (주)거성크루_건대역점,서울 광진구 동일로20길 72 무궁화공예문화교실,37.54022,127.06751,기후동행쉼터
KT M&S자양번영로직영점,서울 광진구 뚝섬로 590 1층 KT,37.53314,127.07529,기후동행쉼터
KT 모바일라운지_건대스타시티점,"서울 광진구 아차산로 272 104호, B1층",37.53841,127.07319,기후동행쉼터
KT 탑클래스 모바일_구의역점,서울 광진구 아차산로 380,37.53662,127.085,기후동행쉼터
KT 모바일라운지_구의역점,"서울 광진구 아차산로 401 1층, kt매장",37.53764,127.08726,기후동행쉼터
KT L&C 컴퍼니_광장점,서울 광진구 아차산로 537-17 11호,37.54316,127.10022,기후동행쉼터
KT 올웨이_아차산점,서울 광진구 용마산로 60 1층 KT,37.55892,127.0879,기후동행쉼터
KT 올웨이_중곡점,서울 광진구 천호대로 655,37.5526,127.08972,기후동행쉼터
KT 올웨이_광나루역점,"서울 광진구 천호대로 808, kt매장",37.54508,127.10281,기후동행쉼터
KT 올웨이_군자점,서울 광진구 천호대로111길 10,37.55679,127.08228,기후동행쉼터
KT 이루리_구로점,서울 구로구 가마산로 285 101호,37.4971,126.89169,기후동행쉼터
KT olleh plaza 개봉점,서울 구로구 개봉로6길 12-5 kt 개봉지점 1층 kt 플라자 개봉점,37.48685,126.85719,기후동행쉼터
신한은행 구로역금융센터,서울 구로구 경인로 557,37.50312,126.87902,기후동행쉼터
KT 친절텔레콤 신도림점,서울 구로구 경인로 661 107호,37.50966,126.88799,기후동행쉼터
KT 솔트네트워크_오류동역점,서울 구로구 경인로20길 10 1층 KT매장,37.49531,126.84369,기후동행쉼터
KT 솔트네트워크_개봉역프라자점,서울 구로구 경인로40길 47 105-106호,37.49452,126.85912,기후동행쉼터
KT 화이트정보통신_구로시장점,서울 구로구 도림로 69 1층 코너매장,37.48963,126.89105,기후동행쉼터
KT M&S구로디지털직영점,서울 구로구 디지털로34길 55 1층,37.48435,126.89929,기후동행쉼터
KT (주)예스모바일_구로디지털단지역점,서울 구로구 시흥대로 577,37.48439,126.90227,기후동행쉼터
KT 화이트정보통신_가산역점,서울 금천구 벚꽃로 298 1층 108호 KT,37.4814,126.88389,기후동행쉼터
KT 다움 시흥사거리점,서울 금천구 시흥대로 236 와이즈플레이스 1동 101호,37.45499,126.901,기후동행쉼터
KT (주)예스모바일_ 독산씨티렉스,서울 금천구 시흥대로 399,37.46941,126.89687,기후동행쉼터
KT 혜성아이앤씨 공릉점,"서울 노원구 공릉로 192, kt매장",37.62705,127.07911,기후동행쉼터
KT (주)지오컴퍼니 광운대역점,서울 노원구 광운로 66 1층 101,37.62313,127.06031,기후동행쉼터
