대피소명,주소,위도,경도,유형,대피소명_정규
2호선 역삼역,,37.50062,127.03646,비상대피시설(지하철역),2호선역삼역
2호선 영등포구청역,,37.52571,126.89661,비상대피시설(지하철역),2호선영등포구청역
2호선 왕십리(성동구청)역,,37.56124,127.03695,비상대피시설(지하철역),2호선왕십리(성동구청)역
2호선 용답역,,37.5619,127.0509,비상대피시설(지하철역),2호선용답역
2호선 용두(동대문구청)역,,37.57403,127.03809,비상대피시설(지하철역),2호선용두(동대문구청)역
"2호선 용두역 지하 1층, 2층",서울특별시 동대문구 천호대로 지하 129 (용두동),37.57544,127.0384,민방위대피시설,"2호선용두역지하1층,2층"
2호선 을지로3가역,,37.56631,126.9917,비상대피시설(지하철역),2호선을지로3가역
2호선 을지로4가역,,37.5666,126.99782,비상대피시설(지하철역),2호선을지로4가역
2호선 을지로입구역,,37.56601,126.98262,비상대피시설(지하철역),2호선을지로입구역
2호선을지로입구역지하철승강장,"서울특별시 중구 을지로 지하 42 (을지로1가, 을지로입구역 2호선)",37.56606,126.98208,민방위대피시설,2호선을지로입구역지하철승강장
2호선 이대역,,37.55673,126.94601,비상대피시설(지하철역),2호선이대역
2호선 이대전철역 지하 1~2층,서울특별시 마포구 신촌로 지하 180 (대흥동),37.55685,126.94773,민방위대피시설,2호선이대전철역지하1~2층
2호선 잠실(송파구청)역,,37.51326,127.10016,비상대피시설(지하철역),2호선잠실(송파구청)역
2호선 잠실나루역,,37.52073,127.10379,비상대피시설(지하철역),2호선잠실나루역
2호선 잠실새내역,,37.51169,127.08616,비상대피시설(지하철역),2호선잠실새내역
2호선 종합운동장역,,37.51102,127.0737,비상대피시설(지하철역),2호선종합운동장역
2호선 충정로(경기대입구)역,,37.5597,126.96438,비상대피시설(지하철역),2호선충정로(경기대입구)역
2호선 한양대역,,37.55527,127.04366,비상대피시설(지하철역),2호선한양대역
2호선 합정역,,37.54946,126.91381,비상대피시설(지하철역),2호선합정역
2호선 홍대입구역,,37.55679,126.92371,비상대피시설(지하철역),2호선홍대입구역
3차청구아파트경로당,서울특별시 노원구 중계로 233 (청구3차아파트 관리사무소/경로당),37.64972,127.0743,무더위쉼터,3차청구아파트경로당
3호선 가락시장역,,37.49224,127.11776,비상대피시설(지하철역),3호선가락시장역
3호선 경복궁(정부서울청사)역,,37.57576,126.97353,비상대피시설(지하철역),3호선경복궁(정부서울청사)역
3호선 경찰병원역,,37.49592,127.12454,비상대피시설(지하철역),3호선경찰병원역
3호선 고속터미널역,,37.50489,127.00492,비상대피시설(지하철역),3호선고속터미널역
3호선 교대(법원.검찰청)역,,37.49303,127.01379,비상대피시설(지하철역),3호선교대(법원.검찰청)역
3호선 구파발역,,37.63676,126.91882,비상대피시설(지하철역),3호선구파발역
3호선 금호역,,37.54803,127.01587,비상대피시설(지하철역),3호선금호역
3호선 남부터미널(예술의전당)역,,37.48501,127.01619,비상대피시설(지하철역),3호선남부터미널(예술의전당)역
3호선 녹번역,,37.60093,126.93576,비상대피시설(지하철역),3호선녹번역
3호선 대청역,,37.49351,127.07953,비상대피시설(지하철역),3호선대청역
3호선 대치역,,37.49461,127.06364,비상대피시설(지하철역),3호선대치역
3호선 도곡역,,37.49086,127.05538,비상대피시설(지하철역),3호선도곡역
3호선 독립문역,,37.57457,126.95775,비상대피시설(지하철역),3호선독립문역
3호선 동대입구역,,37.55905,127.0056,비상대피시설(지하철역),3호선동대입구역
3호선동대입구역지하철승강장,"서울특별시 중구 동호로 지하 256 (장충동2가, 동대입구역 3호선)",37.55921,127.00511,민방위대피시설,3호선동대입구역지하철승강장
3호선 매봉역,,37.48695,127.04677,비상대피시설(지하철역),3호선매봉역
3호선 무악재역,,37.5823,126.95029,비상대피시설(지하철역),3호선무악재역
3호선 불광역,,37.61047,126.92989,비상대피시설(지하철역),3호선불광역
3호선 수서역,,37.48738,127.10191,비상대피시설(지하철역),3호선수서역
3호선 신사역,,37.51633,127.02011,비상대피시설(지하철역),3호선신사역
3호선 안국역,,37.57648,126.98544,비상대피시설(지하철역),3호선안국역
3호선 압구정역,,37.52707,127.02846,비상대피시설(지하철역),3호선압구정역
3호선 약수역,,37.55487,127.01054,비상대피시설(지하철역),3호선약수역
3호선약수역지하철승강장,"서울특별시 중구 다산로 지하122, 약수역 3호선 (신당동)",37.55445,127.01099,민방위대피시설,3호선약수역지하철승강장
3호선 양재(서초구청)역,,37.48448,127.0339,비상대피시설(지하철역),3호선양재(서초구청)역
3호선 연신내역,,37.61923,126.92104,비상대피시설(지하철역),3호선연신내역
3호선 오금역,,37.50213,127.12832,비상대피시설(지하철역),3호선오금역
3호선 옥수역,,37.54168,127.01727,비상대피시설(지하철역),3호선옥수역
3호선 을지로3가역,,37.56667,126.99255,비상대피시설(지하철역),3호선을지로3가역
3호선을지로3가역지하철승강장,"서울특별시 중구 을지로 지하106, 을지로3가역 2호선 (을지로3가)",37.56621,126.99023,민방위대피시설,3호선을지로3가역지하철승강장
3호선 일원역,,37.48368,127.08439,비상대피시설(지하철역),3호선일원역
3호선 잠원역,,37.51276,127.01122,비상대피시설(지하철역),3호선잠원역
3호선 종로3가역,,37.5716,126.99179,비상대피시설(지하철역),3호선종로3가역
3호선 지축역,,37.64805,126.91395,비상대피시설(지하철역),3호선지축역
3호선 충무로역,,37.56143,126.99407,비상대피시설(지하철역),3호선충무로역
3호선 학여울역,,37.49666,127.07059,비상대피시설(지하철역),3호선학여울역
3호선 홍제역,,37.58907,126.94374,비상대피시설(지하철역),3호선홍제역
4차산업혁명 체험센터,서울특별시 성동구 살곶이길 327(행당동),37.55452,127.04047,수해대피소,4차산업혁명체험센터
4호선 길음역,,37.60341,127.02505,비상대피시설(지하철역),4호선길음역
4호선 남태령역,,37.46387,126.98913,비상대피시설(지하철역),4호선남태령역
4호선 노원역,,37.65627,127.06328,비상대피시설(지하철역),4호선노원역
4호선 당고개역,,37.67027,127.07907,비상대피시설(지하철역),4호선당고개역
4호선 동대문역,,37.57093,127.00929,비상대피시설(지하철역),4호선동대문역
4호선 동대문역사문화공원역,,37.56513,127.00788,비상대피시설(지하철역),4호선동대문역사문화공원역
4호선 동작(현충원)역,,37.50285,126.98035,비상대피시설(지하철역),4호선동작(현충원)역
4호선 명동역,,37.56099,126.98632,비상대피시설(지하철역),4호선명동역
4호선 미아(서울사이버대학)역,,37.62667,127.02598,비상대피시설(지하철역),4호선미아(서울사이버대학)역
4호선 미아사거리역,,37.61329,127.03005,비상대피시설(지하철역),4호선미아사거리역
4호선 사당역,,37.47695,126.98165,비상대피시설(지하철역),4호선사당역
4호선 삼각지역,,37.53408,126.9726,비상대피시설(지하철역),4호선삼각지역
4호선 상계역,,37.66088,127.07357,비상대피시설(지하철역),4호선상계역
4호선 서울역,,37.55281,126.97256,비상대피시설(지하철역),4호선서울역
4호선 성신여대입구(돈암)역,,37.59261,127.01644,비상대피시설(지하철역),4호선성신여대입구(돈암)역
4호선 수유(강북구청)역,,37.63805,127.02573,비상대피시설(지하철역),4호선수유(강북구청)역
4호선 숙대입구(갈월)역,,37.54456,126.97211,비상대피시설(지하철역),4호선숙대입구(갈월)역
4호선 신용산역,,37.52917,126.96789,비상대피시설(지하철역),4호선신용산역
4호선 쌍문역,,37.64863,127.03471,비상대피시설(지하철역),4호선쌍문역
4호선 이촌(국립중앙박물관)역,,37.5223,126.97473,비상대피시설(지하철역),4호선이촌(국립중앙박물관)역
4호선 창동역,,37.65309,127.04727,비상대피시설(지하철역),4호선창동역
4호선 총신대입구(이수)역,,37.48626,126.98199,비상대피시설(지하철역),4호선총신대입구(이수)역
4호선 충무로역,,37.56121,126.99408,비상대피시설(지하철역),4호선충무로역
4호선충무로역지하철승강장,"서울특별시 중구 퇴계로 지하214, 충무로역 3,4호선 (필동2가)",37.56121,126.99433,민방위대피시설,4호선충무로역지하철승강장
4호선 한성대입구(삼선교)역,,37.58846,127.00622,비상대피시설(지하철역),4호선한성대입구(삼선교)역
4호선 혜화역,,37.58234,127.00184,비상대피시설(지하철역),4호선혜화역
4호선 회현(남대문시장)역,,37.55851,126.97825,비상대피시설(지하철역),4호선회현(남대문시장)역
