대피소명,주소,위도,경도,유형
4호선 총신대입구(이수)역,,37.486263,126.981989,비상대피시설(지하철역)
신분당선(연장) 광교(경기대)역,,37.30211,127.044483,비상대피시설(지하철역)
신분당선(연장) 광교중앙(아주대)역,,37.288617,127.051478,비상대피시설(지하철역)
신분당선(연장) 상현역,,37.297664,127.069342,비상대피시설(지하철역)
신분당선(연장) 성복역,,37.313335,127.0801,비상대피시설(지하철역)
신분당선(연장) 수지구청역,,37.322702,127.095026,비상대피시설(지하철역)
신분당선(연장) 동천역,,37.337928,127.102976,비상대피시설(지하철역)
신분당선(연장) 미금역,,37.349982,127.108918,비상대피시설(지하철역)
신분당선 정자역,,37.367098,127.108403,비상대피시설(지하철역)
신분당선 판교역,,37.394761,127.112217,비상대피시설(지하철역)
신분당선 청계산입구역,,37.447211,127.055664,비상대피시설(지하철역)
4호선 동작(현충원)역,,37.502971,126.979306,비상대피시설(지하철역)
신분당선 양재시민의숲(매헌)역,,37.470023,127.03842,비상대피시설(지하철역)
신분당선 양재(서초구청)역,,37.483809,127.034653,비상대피시설(지하철역)
신분당선 강남역,,37.496837,127.028104,비상대피시설(지하철역)
신분당선(연장2) 신논현역,,37.504598,127.02506,비상대피시설(지하철역)
신분당선(연장2) 논현역,,37.511093,127.021415,비상대피시설(지하철역)
신분당선(연장2) 신사역,,37.516334,127.020114,비상대피시설(지하철역)
4호선 이촌(국립중앙박물관)역,,37.522272,126.974345,비상대피시설(지하철역)
4호선 신용산역,,37.52917,126.967894,비상대피시설(지하철역)
4호선 삼각지역,,37.534777,126.97311,비상대피시설(지하철역)
4호선 숙대입구(갈월)역,,37.54456,126.972106,비상대피시설(지하철역)
4호선 서울역,,37.554648,126.972559,비상대피시설(지하철역)
4호선 회현(남대문시장)역,,37.558514,126.978246,비상대피시설(지하철역)
4호선 명동역,,37.560989,126.986325,비상대피시설(지하철역)
4호선 충무로역,,37.561243,126.99428,비상대피시설(지하철역)
4호선 동대문역사문화공원역,,37.565138,127.007896,비상대피시설(지하철역)
공항철도1호선 영종역,,37.51202,126.524254,비상대피시설(지하철역)
공항철도1호선 인천공항2터미널역,,37.460699,126.441442,비상대피시설(지하철역)
공항철도1호선 인천공항1터미널역,,37.447464,126.452508,비상대피시설(지하철역)
공항철도1호선 공항화물청사역,,37.459041,126.477516,비상대피시설(지하철역)
공항철도1호선 운서역,,37.492904,126.49379,비상대피시설(지하철역)
